speaker,words,RACE tagged plain,tags,content tags,
Black or African American ,Accessible and covered but long wait times and miscommunication makes getting procedures done in time make things delayed and harder to connect with the right people and understand where I am in the process.,black ,waits; navigating; black ,waits; navigating,"waits, navigating"
Asian ,"Because of gender dysphoria and previous trauma, I have been temporarily putting off getting regular sexual and reproductive care at the moment.",Asian ,trauma; delay; asian ,trauma; delay,"trauma, delay"
"American Indian or Native American, Black or African American, Latinx ",Yeah it's just been so hard it was so hard to get a consultation to get seen for Perry and menopause that almost gave up but you know sometimes it's just so hard to get a specialist to look at that and figure out and my Imperium menopause or not which is really important because what supplements and hormones and different things like that it does affect a lot of different things plus I have a thyroid disorder so like knowing where I am in my reproductive Health would have been really helpful to know a lot earlier and it took me a long time to find out so then it took me a long time to get my thyroid out and it just slowed up a lot of medical things,american-indian;black; Latinx ,chronic; knowledge; waits; american-indian;black; latinx ,chronic; knowledge; waits,"Chronic Conditions, knowledge, waits"
"American Indian or Native American, Asian, Black or African American, Latinx, White","Being trans and non-binary can be a huge barrier to getting culturally and identity/body  compentent care for my health issues typically associated with women. and all too often my disabilities are seen as a a barrier to treating me for unrelated health issues, causing me to only get sicker & have compounding  health problems build on each other.",american-indian; Asian; black; Latinx; White,culturalcompetence; american-indian; asian; black; latinx; white,culturalcompetence,culturalcompetence
Latinx ,Could be to expensive to access,Latinx ,cost; latinx ,cost,cost
"American Indian or Native American, Latinx ","Doctors lack knowledge about what I'm looking for: non-hormonal birth control. I've had to educate myself and my doctors about what I found and need e.g. Kaiser reimbursement for biometric tracking birth control app tracker and prescription for a female diaphragm. I was also judged for not wanting to take hormonal birth control without the doctor offering any medical advice of actions I could take. 

I also have trauma due to an extremely painful IUD insertion when I was younger. I overprepare and experience medical anxiety for any reproductive-related tests. It makes a difference the way that I communicate with a doctor.",american-indian; Latinx ,contraception; knowledge; trauma; american-indian; latinx ,contraception; knowledge; trauma,"Contraception and birth control, knowledge, trauma"
"Black or African American, Latinx ",Drs need to take sexual and reproductive health care more seriously. Stop blaming it on cramps or our periods!,black; Latinx ,minimization; black; latinx ,minimization,minimization
"Latinx, White ","finding actual non women's health places that aren't run by old yt women is almost impossible, let alone covered by insurance. finding ppl that recognize these types of appointments might be harder for non gender conforming ppl or neurodivergent ppl, also basically impossible.",Latinx; White ,culturalcompetence; cost; neurodivergence; latinx; white ,culturalcompetence; cost; Neurodivergence,"culturalcompetence, cost, Neurodivergence"
Latinx ,"Honest, I don’t access this healthcare although I should because I have multiple sexual partners. I’m poly, brown and “visibly” queer. I just don’t feel comfy with any pcp I’ve had here in Pdx.",Latinx ,avoiding; delay; culturalcompetence; latinx ,avoiding; delay; culturalcompetence,"Avoiding care, delay, culturalcompetence"
"American Indian or Native American, Black or African American ",Huge lack of knowledge on gender affrrming care. Lack of access and barriers in place to prevent me accessing reproductive care. Gaslighting by reproductive doctor.,american-indian; black ,knowledge; minimization; american-indian; black ,knowledge; minimization,"knowledge, minimization"
Latinx ,I’m happy to have OHP to help with accessibility,Latinx ,wins; latinx ,Wins,Wins
"Asian, White ",I access appointments with the gender care clinic virtually which makes accessing care much more accessible. If I had to go in person for check ins it would be a lot more problematic because I would have to take time off work.,Asian; White ,wins; asian; white ,Wins,Wins
Latinx ,I would like to acknowledge the great accessibility of planned parenthood where i was able to get an IUD for free,Latinx ,wins; contraception; latinx ,Wins; contraception,"Wins, Contraception and birth control"
