speaker,words,tags,,final tag list
Black or African American,I have been blown away by the compassion and understanding of my healthcare providers.,Affirming experiences,Affirming experiences,Ableism
Black or African American,"I present as a cis, middle-class woman so my questions about hormone replacement therapy were taken seriously.",Affirming experiences,Affirming experiences,Admin and Office
"Latinx
White","My care at my PCP office (Prism Health) has been very gender affirming, but with long wait times. It's been my care with OHSU that's been bad as I try to pursue bottom surgery",Affirming experiences; Long wait times and delays; Lack of provider knowledge,"Affirming experiences, Long wait times and delays, Lack of provider knowledge",Anxiety
Black or African American,I find it I can manoeuver the field quite well with most of my doctor's being unbiased,Affirming experiences; Wins,"Affirming experiences, Wins",Avoiding care
Latinx,I have put off getting gender affirming health care because I fear the government.,Avoiding care; Delaying care; Anxiety,"Avoiding care, Delaying care, Anxiety",Chronic Conditions
"American Indian or Native American
Asian
Black or African American
Latinx
White","i experienced a huge issue with getting competent gender affirming surgery and care due to being non binary and chronically ill because the surgeons and doctor team were very unfamiliar with the special needs of someone with connective tissue disorders (despite being hugely common amongst trans folks) and lead me astray in what to expect in recovery as well  as a level of recovery, pain, and  regaining movement i would experience post op which was cl platelet incorrect, lead me to make diffferent irreversible medical choices i wouldn’t have if i was properly informed. and have caused me significant increase in chronic pain in the area of the surgery still debilitating after 3 years post op.",Chronic Conditions; Lack of provider knowledge,"Chronic Conditions, Lack of provider knowledge",Competent care
Asian,"i hit a financial wall whenever regular blood draw is required before accessing HRT. Blood tests have not been covered by premium insurance, and that makes it inaffordable to receive care and thus HRT.",Cost of care; Insurance,"Cost of care, Insurance",Contraception and birth control
Latinx,"I kept gaining weight, doctor refused to test me (just told me to watch my diet even though I said I was eating normal). Ended missing a serious condition that later put me in the hospital.",Fatphobia; Delayed diagnosis,"Fatphobia, Delayed diagnosis",Cost of care
"Asian
White","I am fat with a high BMI and top surgery is almost unobtainable in my region. Only a handful of surgeons in Portland will work on patients with high BMIs, and their wait times can be years and years.",Fatphobia; Long wait times and delays; Lack of provider knowledge,"Fatphobia, Long wait times and delays, Lack of provider knowledge",COVID-19
Black or African American,"I oftentimes face the most racism and fatphobia along with misgendering by the providers I am seeking gender affirming care from. Many continue to deny me top surgery due to my body type that’s related to genetics rather than gaining or losing weight. Numerous providers have tried to coerce me into weight loss surgery when I have been battling a restrictive eating disorder for over 10 years and still struggle to eat one meal a day. My insurance does not cover any weight loss medications, treatments, or procedures and barely covers anything for gender affirming care.",Fatphobia; Racism; Other provider bias; Cost of care,"Fatphobia, Racism, Other provider bias, Cost of care, Misgendering",Delayed diagnosis
Prefer not to say or use these categories,I need access to hormones because I am intersex. I feel like doctors can understand a binary transgender person and give them the care they need but they can’t even wrap their head around what I need. (A sex hormone. I don’t really care which at this point. But I can’t keep going on with No Estrogen and Little Testosterone).,Intersex experiences; Lack of provider knowledge,"Intersex experiences, Lack of provider knowledge",Delaying care
Prefer not to say or use these categories,Colonial medicine practitioners give me the ick.,Lack of culturally competent providers,Lack of culturally competent providers,Fatphobia
Black or African American,"The wombo combo of being fat, Black, and queer + white providers not having enough Black people and other POC in their lives, and thus, they have no idea how to interact with Black people is undefeated.",Lack of culturally competent providers; Fatphobia; Other provider bias,"Lack of culturally competent providers, Fatphobia, Other provider bias",Homelessness
Middle Eastern or North African,Being denied pain management post op because I elected to have a affirming surgery,Lack of culturally competent providers; Lack of provider knowledge; Medical Trauma; Transphobia,"Lack of culturally competent providers, Lack of provider knowledge, Medical Trauma, Transphobia",Homophobia
Latinx,"I was diagnoced with cervical cancer becuse they didn't know what a cervix on 10 years of hormones lookedlike.

The lines for surgery are over a year and that is not acceptable

Urology is inept when it comes to trans bodies in an er for kidney stones.",Lack of provider knowledge,Lack of provider knowledge,Insurance
"American Indian or Native American
Black or African American",Theres few doctors with gender knowledge and the ones that are in the area are booked out for months some even years.,Lack of provider knowledge; Long wait times and delays,"Lack of provider knowledge, Long wait times and delays",Intersex experiences
Black or African American,I'm on a wait list for top surgery and it was the only way for me to get a reduction after trying for 15+ years. Been on the wait list for surgery for 7+ months,Long wait times and delays,Long wait times and delays,Lack of culturally competent providers
Black or African American,"In the section specifically regarding surgery services, I answered N/A for ""satisfactory"" and ""safe"" because I'm currently just on a waitlist for surgery, so I don't know what that part of the experience is like yet",Long wait times and delays,Long wait times and delays,Lack of provider knowledge
"Latinx
Prefer not to say or use these categories","The wait is too long. We need better education and route planning to navigate everything, and get around the red tape barring us from care.",Long wait times and delays,Long wait times and delays,Long wait times and delays
"Asian
White",Wait times and insurance struggles make it very difficult to get top surgery,Long wait times and delays; Insurance; Navigating care,"Long wait times and delays, Insurance, Navigating care",Medical harm
"American Indian or Native American
Latinx",The waitlist has been too long and very frustrating,Long wait times and delays; Navigating care,"Long wait times and delays, Navigating care",Medical trauma
Black or African American,im a Black person so I have a lot of medical trauma. gender affirming care is expensive and my quality of life suffers bc of it,Medical Trauma; Racism; Cost of care,"Medical Trauma, Racism, Cost of care",Misgendering
"Asian
White",I really would like to receive gender affirming care (top surgery) but its been difficult to navigate the insurance I have to see if its even covered. I will be losing my insurance next month due to getting laid off; hoping to explore some other / better insurance options to hopefully explore this more.,Navigating care,Navigating care,Navigating care
"Asian
Latinx",It’s not easy to navigate finding the right surgeon and location for gender affirming care. Accessing a written letter was fine once I changed clinics but there isn’t much help after to move onto next steps.,Navigating care,Navigating care,Neurodivergence
