tag,description
american-indian,american indian or native american
asian,Asian perspectives
black,Black or African American perspectives
latinx,Latinx perspectives
middleeastern,middle eastern or north african
nhpi,Native Hawaiian or Pacific Islander perspectives
other,prefer not to say or use these categories
white,Mixed-race perspectives
ableism,ableism
trans,accesing surgery or hormones
admin,admin and office
affirming,affirming experiences
anxiety,anxiety
avoiding,avoiding care
chronic,chronic conditions
competent,competent care
contraception,contraceptiand birth control
cost,cost of care
covid-19,covid-19
diagnosisdelayed,delayed diagnosis
delay,delaying care
fatphobia,fatphobia
homelessness,homelessness
homophobia,homophobia
insurance,insurance
intersex,intersex experiences
culturalcompetence,lack of culturally competent providers
knowledge,lack of provider knowledge
waits,long wait times and delays
harm,medical harm
trauma,medical trauma
misgendering,misgendering
navigating,navigating care
neurodivergence,neurodivergence
new,new to Oregon
otherbias,other provider bias
overtreatment,overtreatment
indifference,provider indifference
minimization,provider minimizes concerns
sharedidentities,provider shared identities
racism,racism
reproductive,reproductive related condition
sexism,sexism
assault,sexual assault or trauma
shortappointments,short appointment times
sticare,sti testing and care
transphobia,transphobia
transportation,transportation
traumainformedcare,trauma informed care
wins,wins
